Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
14,OK0BBK,70cm,431.475000,,,439.075000,Kozákov u Semil,JO70po,50.59433300,15.26315300,https://mapy73.pl/repeater/OK0BBK
15,OK0BC,70cm,431.100000,136.5,,438.700000,Lysá hora - Krkonoše,JO70ss,50.75390700,15.50649300,https://mapy73.pl/repeater/OK0BC
16,OK0BCA,70cm,431.300000,,,438.900000,Liščí hora - Krkonoše,JO70uq,50.68400200,15.70099700,https://mapy73.pl/repeater/OK0BCA
17,OK0BCN,70cm,431.175000,82.5,,438.775000,Náchod,JO80cj,50.40111100,16.19083300,https://mapy73.pl/repeater/OK0BCN
18,OK0BD,70cm,431.050000,82.5,,438.650000,Ostrava,JN99bt,49.80681200,18.09858900,https://mapy73.pl/repeater/OK0BD
19,OK0BDL,70cm,431.825000,82.5,,439.425000,Lysá Hora,JN99fn,49.54612900,18.44833700,https://mapy73.pl/repeater/OK0BDL
20,OK0BE,70cm,431.050000,88.5,,438.650000,Klínovec,JO60lj,50.39671100,12.96770000,https://mapy73.pl/repeater/OK0BE
21,OK0BEA,70cm,431.612500,88.5,,439.212500,Klášterec nad Ohří,JO60oj,50.40500000,13.18805600,https://mapy73.pl/repeater/OK0BEA
22,OK0BEZ,70cm,431.675000,88.5,,439.275000,Žatec,JO60sh,50.31849800,13.54217200,https://mapy73.pl/repeater/OK0BEZ
23,OK0BF,70cm,431.675000,88.5,,439.275000,Holý kopec u Přerova,JN89sj,49.38616700,17.50132800,https://mapy73.pl/repeater/OK0BF
24,OK0BG,70cm,431.250000,88.5,,438.850000,České Budějovice - komín teplárny 160 m,JN78gx,48.97917000,14.54167000,https://mapy73.pl/repeater/OK0BG
